Название,Адрес,Категория,Номер телефона,Cсылка
HENDERSON,"Москва проспект Мира, 211к2, ТРЦ «ЕВРОПОЛИС в Ростокино», 1 этаж",Магазин мужской одежды,+7 499 648-37-00,https://www.google.com/maps/place/HENDERSON/data=!4m7!3m6!1s0x46b5369b7e574041:0xbea57057a9ced9cd!8m2!3d55.8450241!4d37.6670266!16s%2Fg%2F1vq73j90!19sChIJQUBXfps2tUYRzdnOqVdwpb4?authuser=0&hl=ru&rclk=1
Сударь,"село Немчиновка проезд Хорошевский 14 ТРЦ «VEGAS» Кунцево, 1 этаж",Магазин одежды,+7 495 640-39-97,https://www.google.com/maps/place/%D0%A1%D1%83%D0%B4%D0%B0%D1%80%D1%8C/data=!4m7!3m6!1s0x46b54f5046ded885:0xcf0e0f2cdcf9fe57!8m2!3d55.7200861!4d37.3780788!16s%2Fg%2F11nn1crpbr!19sChIJhdjeRlBPtUYRV_753CwPDs8?authuser=0&hl=ru&rclk=1
HENDERSON,"2-й микрорайон, 20 МТРК «Zеленопарк», 1 этаж",Магазин мужской одежды,+7 499 704-63-00,https://www.google.com/maps/place/HENDERSON/data=!4m7!3m6!1s0x46b515bff0248ced:0x88f38e220bdd7d55!8m2!3d55.9986583!4d37.2576759!16s%2Fg%2F11f3xgkkn9!19sChIJ7Ywk8L8VtUYRVX3dCyKO84g?authuser=0&hl=ru&rclk=1
Сударь,"к1824, Новокрюковская ул.",Магазин одежды,+7 495 640-39-85,https://www.google.com/maps/place/%D0%A1%D1%83%D0%B4%D0%B0%D1%80%D1%8C/data=!4m7!3m6!1s0x46b5155e45b34b09:0x4dee9f47f384a1ef!8m2!3d55.9833303!4d37.1668711!16s%2Fg%2F11rggl0zdh!19sChIJCUuzRV4VtUYR76GE80ef7k0?authuser=0&hl=ru&rclk=1
HENDERSON,"Международная ул., 12, ТРЦ «VEGAS Крокус Сити», 1 этаж",Магазин мужской одежды,+7 495 134-40-77,https://www.google.com/maps/place/HENDERSON/data=!4m7!3m6!1s0x46b54635a9f666b3:0xbe013279bfb9afbf!8m2!3d55.8207781!4d37.3884863!16s%2Fg%2F11g6qr5stp!19sChIJs2b2qTVGtUYRv6-5v3kyAb4?authuser=0&hl=ru&rclk=1
Сударь,"Митинская ул., 50 м",Магазин одежды,+7 495 640-38-29,https://www.google.com/maps/place/%D0%A1%D1%83%D0%B4%D0%B0%D1%80%D1%8C/data=!4m7!3m6!1s0x46b547f14f7a00af:0xbbc09b23d4e14c22!8m2!3d55.8518056!4d37.3555505!16s%2Fg%2F11k86drj39!19sChIJrwB6T_FHtUYRIkzh1CObwLs?authuser=0&hl=ru&rclk=1
Olymp & Digel,"Привокзальная пл., 1А",Магазин мужской одежды,+7 965 343-59-25,https://www.google.com/maps/place/Olymp+%26+Digel/data=!4m7!3m6!1s0x46b551c71e979965:0xa01f66c57154a359!8m2!3d55.6713886!4d37.2766038!16s%2Fg%2F11pv9h6g12!19sChIJZZmXHsdRtUYRWaNUccVmH6A?authuser=0&hl=ru&rclk=1
CORNELIANI,"Киевское ш., 8",Магазин мужской одежды,,https://www.google.com/maps/place/CORNELIANI/data=!4m7!3m6!1s0x46b553ea0bf8b123:0x15222639456172d3!8m2!3d55.6093693!4d37.3333096!16s%2Fg%2F11c6zy43ln!19sChIJI7H4C-pTtUYR03JhRTkmIhU?authuser=0&hl=ru&rclk=1
ManClassic.ru - Магазин мужских костюмов,"Ленинский пр-т., д. 71",Магазин одежды,+7 901 180-00-00,https://www.google.com/maps/place/ManClassic.ru+-+%D0%9C%D0%B0%D0%B3%D0%B0%D0%B7%D0%B8%D0%BD+%D0%BC%D1%83%D0%B6%D1%81%D0%BA%D0%B8%D1%85+%D0%BA%D0%BE%D1%81%D1%82%D1%8E%D0%BC%D0%BE%D0%B2/data=!4m7!3m6!1s0x46b54d6233ea22cf:0x77c87546c9033050!8m2!3d55.6890018!4d37.5502308!16s%2Fg%2F11ghfsc627!19sChIJzyLqM2JNtUYRUDADyUZ1yHc?authuser=0&hl=ru&rclk=1
ателье для мужчин,"ул. Покрышкина, 5",Магазин мужской одежды,+7 495 928-35-13,https://www.google.com/maps/place/%D0%B0%D1%82%D0%B5%D0%BB%D1%8C%D0%B5+%D0%B4%D0%BB%D1%8F+%D0%BC%D1%83%D0%B6%D1%87%D0%B8%D0%BD/data=!4m7!3m6!1s0x46b54d9899955555:0xb21f94a09796aa00!8m2!3d55.6643924!4d37.4692098!16s%2Fg%2F11sq199sf0!19sChIJVVWVmZhNtUYRAKqWl6CUH7I?authuser=0&hl=ru&rclk=1
Магазин мужских костюмов,"Большой Козихинский пер., 22 строение 2",Магазин мужской одежды,+7 495 104-24-08,https://www.google.com/maps/place/%D0%9C%D0%B0%D0%B3%D0%B0%D0%B7%D0%B8%D0%BD+%D0%BC%D1%83%D0%B6%D1%81%D0%BA%D0%B8%D1%85+%D0%BA%D0%BE%D1%81%D1%82%D1%8E%D0%BC%D0%BE%D0%B2/data=!4m7!3m6!1s0x46b54a38470dce3d:0xaa091654045cf3dc!8m2!3d55.7646575!4d37.5951696!16s%2Fg%2F11j218yzxz!19sChIJPc4NRzhKtUYR3PNcBFQWCao?authuser=0&hl=ru&rclk=1
Магазин мужской одежды,"пр. Вернадского, 14 а",Магазин одежды,,https://www.google.com/maps/place/%D0%9C%D0%B0%D0%B3%D0%B0%D0%B7%D0%B8%D0%BD+%D0%BC%D1%83%D0%B6%D1%81%D0%BA%D0%BE%D0%B9+%D0%BE%D0%B4%D0%B5%D0%B6%D0%B4%D1%8B/data=!4m7!3m6!1s0x46b54daabd1e6029:0x6812dff9825a7583!8m2!3d55.676946!4d37.504758!16s%2Fg%2F11b7q5drvh!19sChIJKWAevapNtUYRg3VagvnfEmg?authuser=0&hl=ru&rclk=1
Министерство Мужского Костюма,"Восток, Башня Федерация, Пресненская наб., 12, Москва-Сити, 56 этаж, офис 30",ВИП-ателье,+7 985 335-49-99,https://www.google.com/maps/place/%D0%9C%D0%B8%D0%BD%D0%B8%D1%81%D1%82%D0%B5%D1%80%D1%81%D1%82%D0%B2%D0%BE+%D0%9C%D1%83%D0%B6%D1%81%D0%BA%D0%BE%D0%B3%D0%BE+%D0%9A%D0%BE%D1%81%D1%82%D1%8E%D0%BC%D0%B0/data=!4m7!3m6!1s0x46b54b55150c0d7f:0xc7d71c4cb7dd2c5c!8m2!3d55.7475019!4d37.5412336!16s%2Fg%2F11fn65nlyr!19sChIJfw0MFVVLtUYRXCzdt0wc18c?authuser=0&hl=ru&rclk=1
Мужские костюмы,,Магазин одежды,,https://www.google.com/maps/place/%D0%9C%D1%83%D0%B6%D1%81%D0%BA%D0%B8%D0%B5+%D0%BA%D0%BE%D1%81%D1%82%D1%8E%D0%BC%D1%8B/data=!4m7!3m6!1s0x46b5478d69d19107:0xe586832e04d73ee5!8m2!3d55.8501878!4d37.4268461!16s%2Fg%2F11h1mdbzn_!19sChIJB5HRaY1HtUYR5T7XBC6DhuU?authuser=0&hl=ru&rclk=1
KANZLER,"ТРЦ VEGAS Кунцево, Хорошевский пр-д, 14",Магазин мужской одежды,+7 495 236-14-91,https://www.google.com/maps/place/KANZLER/data=!4m7!3m6!1s0x46b54f883df656d7:0xb752264131ca0ac!8m2!3d55.7200861!4d37.3780788!16s%2Fg%2F11q375820r!19sChIJ11b2PYhPtUYRrKAcE2QidQs?authuser=0&hl=ru&rclk=1
Royals,"ТЦ ""Твин Плаза"", Новоясеневский пр., 2",Магазин мужской одежды,+7 495 234-57-17,https://www.google.com/maps/place/Royals/data=!4m7!3m6!1s0x46b552ac60140355:0xf6e7e0f784370965!8m2!3d55.617462!4d37.5066888!16s%2Fg%2F1hf0z5plh!19sChIJVQMUYKxStUYRZQk3hPfg5_Y?authuser=0&hl=ru&rclk=1
Сарар Студия Мужского Костюма,"Новый Арбат ул., 13",Магазин одежды,+7 495 691-93-56,https://www.google.com/maps/place/%D0%A1%D0%B0%D1%80%D0%B0%D1%80+%D0%A1%D1%82%D1%83%D0%B4%D0%B8%D1%8F+%D0%9C%D1%83%D0%B6%D1%81%D0%BA%D0%BE%D0%B3%D0%BE+%D0%9A%D0%BE%D1%81%D1%82%D1%8E%D0%BC%D0%B0/data=!4m7!3m6!1s0x46b54a4c97c90bc1:0xe830588cb1420e73!8m2!3d55.752016!4d37.593721!16s%2Fg%2F11h0ctpzb!19sChIJwQvJl0xKtUYRcw5CsYxYMOg?authuser=0&hl=ru&rclk=1
Epatage,"ТЦ ""Принц Плаза"", ул. Профсоюзная, 129",Магазин мужской одежды,+7 495 987-17-00,https://www.google.com/maps/place/Epatage/data=!4m7!3m6!1s0x46b552ac79e51a5f:0xe11be2fd915d45c3!8m2!3d55.6190219!4d37.5063718!16s%2Fg%2F1hd_vyfv0!19sChIJXxrleaxStUYRw0Vdkf3iG-E?authuser=0&hl=ru&rclk=1
Мужская одежда,,Магазин мужской одежды,+7 926 719-69-15,https://www.google.com/maps/place/%D0%9C%D1%83%D0%B6%D1%81%D0%BA%D0%B0%D1%8F+%D0%BE%D0%B4%D0%B5%D0%B6%D0%B4%D0%B0/data=!4m7!3m6!1s0x46b5504e6588d249:0x96d0dcc7de5b6a39!8m2!3d55.6714116!4d37.2761919!16s%2Fg%2F11cs9_rk6f!19sChIJSdKIZU5QtUYROWpb3sfc0JY?authuser=0&hl=ru&rclk=1
Франт,"супермаркет ""Билла"", Генерала Тюленева ул., 4",Магазин мужской одежды,+7 495 424-12-22,https://www.google.com/maps/place/%D0%A4%D1%80%D0%B0%D0%BD%D1%82/data=!4m7!3m6!1s0x46b552a393ff3bb9:0xe1eefaf5ade6cf7a!8m2!3d55.625422!4d37.483822!16s%2Fg%2F11g_wzv4d!19sChIJuTv_k6NStUYRes_mrfX67uE?authuser=0&hl=ru&rclk=1
"SMOLINO, магазин женской одежды","Привокзальная пл., 2-в",Магазин одежды,+7 916 580-81-14,"https://www.google.com/maps/place/SMOLINO,+%D0%BC%D0%B0%D0%B3%D0%B0%D0%B7%D0%B8%D0%BD+%D0%B6%D0%B5%D0%BD%D1%81%D0%BA%D0%BE%D0%B9+%D0%BE%D0%B4%D0%B5%D0%B6%D0%B4%D1%8B/data=!4m7!3m6!1s0x46caa23f2f2ce1cb:0x2f12a871d4c27bd1!8m2!3d55.6706055!4d37.2783082!16s%2Fg%2F11c44p0cbn!19sChIJy-EsLz-iykYR0XvC1HGoEi8?authuser=0&hl=ru&rclk=1"
Pokrov шоу-рум мужских костюмов,"Марксистская ул., 3с1",Магазин одежды,+7 925 081-88-01,https://www.google.com/maps/place/Pokrov+%D1%88%D0%BE%D1%83-%D1%80%D1%83%D0%BC+%D0%BC%D1%83%D0%B6%D1%81%D0%BA%D0%B8%D1%85+%D0%BA%D0%BE%D1%81%D1%82%D1%8E%D0%BC%D0%BE%D0%B2/data=!4m7!3m6!1s0x46b54be35521e93d:0x7a16ae2f1a3cd8fd!8m2!3d55.7386239!4d37.6612257!16s%2Fg%2F11ff5h644y!19sChIJPekhVeNLtUYR_dg8Gi-uFno?authuser=0&hl=ru&rclk=1
Черный Костюм Тройка,"Берсеневская набережная, 6с3",Магазин одежды,,https://www.google.com/maps/place/%D0%A7%D0%B5%D1%80%D0%BD%D1%8B%D0%B9+%D0%9A%D0%BE%D1%81%D1%82%D1%8E%D0%BC+%D0%A2%D1%80%D0%BE%D0%B9%D0%BA%D0%B0/data=!4m7!3m6!1s0x46b54baa13427a55:0x24cc4afb50089d1a!8m2!3d55.7408157!4d37.608925!16s%2Fg%2F11rylmx92t!19sChIJVXpCE6pLtUYRGp0IUPtKzCQ?authuser=0&hl=ru&rclk=1
Магазин мужской одежды,"Таганская ул., 3, 31 секция, ТОЦ Таганский Пассаж",Магазин одежды,+7 499 409-22-70,https://www.google.com/maps/place/%D0%9C%D0%B0%D0%B3%D0%B0%D0%B7%D0%B8%D0%BD+%D0%BC%D1%83%D0%B6%D1%81%D0%BA%D0%BE%D0%B9+%D0%BE%D0%B4%D0%B5%D0%B6%D0%B4%D1%8B/data=!4m7!3m6!1s0x46b54ae862ee1b5d:0x85d9b18cd8bf0e35!8m2!3d55.7412772!4d37.6584558!16s%2Fg%2F12htxs8ff!19sChIJXRvuYuhKtUYRNQ6_2Iyx2YU?authuser=0&hl=ru&rclk=1
Castangia,"Кутузовский просп., 48",Магазин мужской одежды,+7 495 970-11-20,https://www.google.com/maps/place/Castangia/data=!4m7!3m6!1s0x46b54f923b93b393:0xaab8f0f9da1527b8!8m2!3d55.7317135!4d37.4877704!16s%2Fg%2F11q30wqsh6!19sChIJk7OTO5JPtUYRuCcV2vnwuKo?authuser=0&hl=ru&rclk=1
Мужские рубашки,"ул. Профсоюзная, д. 61А",Магазин мужской одежды,,https://www.google.com/maps/place/%D0%9C%D1%83%D0%B6%D1%81%D0%BA%D0%B8%D0%B5+%D1%80%D1%83%D0%B1%D0%B0%D1%88%D0%BA%D0%B8/data=!4m7!3m6!1s0x46b54d2451000001:0xa01b2bb7995e1f0d!8m2!3d55.6559875!4d37.5418248!16s%2Fg%2F11mw8jw5tp!19sChIJAQAAUSRNtUYRDR9embcrG6A?authuser=0&hl=ru&rclk=1
"Bagozza, магазин мужской одежды","ул. Гарибальди, 23",Магазин одежды,+7 495 779-43-71,"https://www.google.com/maps/place/Bagozza,+%D0%BC%D0%B0%D0%B3%D0%B0%D0%B7%D0%B8%D0%BD+%D0%BC%D1%83%D0%B6%D1%81%D0%BA%D0%BE%D0%B9+%D0%BE%D0%B4%D0%B5%D0%B6%D0%B4%D1%8B/data=!4m7!3m6!1s0x46b54cdd104cbaa9:0xcdcb61a7519d3aa6!8m2!3d55.6713225!4d37.553571!16s%2Fg%2F12hmlbm5m!19sChIJqbpMEN1MtUYRpjqdUadhy80?authuser=0&hl=ru&rclk=1"
Albione,"Пресненская наб., д. 2",Магазин мужской одежды,+7 495 933-43-75,https://www.google.com/maps/place/Albione/data=!4m7!3m6!1s0x46b54bcb5fb91e6d:0x20a43e8d64d6c231!8m2!3d55.7491097!4d37.5394724!16s%2Fg%2F1tlbsdcn!19sChIJbR65X8tLtUYRMcLWZI0-pCA?authuser=0&hl=ru&rclk=1
Магазин мужской одежды,"Университетский пр., 2 б",Магазин одежды,,https://www.google.com/maps/place/%D0%9C%D0%B0%D0%B3%D0%B0%D0%B7%D0%B8%D0%BD+%D0%BC%D1%83%D0%B6%D1%81%D0%BA%D0%BE%D0%B9+%D0%BE%D0%B4%D0%B5%D0%B6%D0%B4%D1%8B/data=!4m7!3m6!1s0x46b54c8efdf83d11:0x35a4c6c6c00a54a6!8m2!3d55.695687!4d37.555986!16s%2Fg%2F12hqpb0n5!19sChIJET34_Y5MtUYRplQKwMbGpDU?authuser=0&hl=ru&rclk=1
"Troy collezione, магазин мужской одежды","Пресненская набережная, 2, ТРЦ АФИМОЛЛ Сити, этаж 3",Магазин одежды,+7 495 725-19-93,"https://www.google.com/maps/place/Troy+collezione,+%D0%BC%D0%B0%D0%B3%D0%B0%D0%B7%D0%B8%D0%BD+%D0%BC%D1%83%D0%B6%D1%81%D0%BA%D0%BE%D0%B9+%D0%BE%D0%B4%D0%B5%D0%B6%D0%B4%D1%8B/data=!4m7!3m6!1s0x46b54bb453db3a93:0xeaeb03b7eea5b732!8m2!3d55.749868!4d37.54145!16s%2Fg%2F12hrfldkf!19sChIJkzrbU7RLtUYRMrel7rcD6-o?authuser=0&hl=ru&rclk=1"
Outlett.ru,"ул. Пресненский Вал, 44",Магазин мужской одежды,+7 800 777-53-05,https://www.google.com/maps/place/Outlett.ru/data=!4m7!3m6!1s0x46b54be5787193f9:0x6b022eb8c0543302!8m2!3d55.7719238!4d37.5720453!16s%2Fg%2F11c30rf1r_!19sChIJ-ZNxeOVLtUYRAjNUwLguAms?authuser=0&hl=ru&rclk=1
Van Cliff,"ул. Авиаконструктора Микояна, 10",Магазин мужской одежды,+7 966 172-44-32,https://www.google.com/maps/place/Van+Cliff/data=!4m7!3m6!1s0x46b549bdb3ed4157:0xfbb6a7054a5d8dd3!8m2!3d55.7900074!4d37.5322152!16s%2Fg%2F11c6cx_xts!19sChIJV0Hts71JtUYR041dSgWntvs?authuser=0&hl=ru&rclk=1
"ДИНАСТИЯ, бутик мужской одежды и обуви",Рочдельская ул 11/5 Москва Центральный АО,Магазин мужской одежды,+7 905 740-65-35,"https://www.google.com/maps/place/%D0%94%D0%98%D0%9D%D0%90%D0%A1%D0%A2%D0%98%D0%AF,+%D0%B1%D1%83%D1%82%D0%B8%D0%BA+%D0%BC%D1%83%D0%B6%D1%81%D0%BA%D0%BE%D0%B9+%D0%BE%D0%B4%D0%B5%D0%B6%D0%B4%D1%8B+%D0%B8+%D0%BE%D0%B1%D1%83%D0%B2%D0%B8/data=!4m7!3m6!1s0x46b54bcc8d103c4d:0x7ac00442429467fa!8m2!3d55.756395!4d37.570206!16s%2Fg%2F11n80fxf40!19sChIJTTwQjcxLtUYR-meUQkIEwHo?authuser=0&hl=ru&rclk=1"
Zili Man,"Страстной б-р, дом 6, строение 1",Магазин мужской одежды,+7 495 741-15-49,https://www.google.com/maps/place/Zili+Man/data=!4m7!3m6!1s0x46b54a40c1937b29:0xf6e1d4c7655efcea!8m2!3d55.7667676!4d37.6071618!16s%2Fg%2F11gj0t97ts!19sChIJKXuTwUBKtUYR6vxeZcfU4fY?authuser=0&hl=ru&rclk=1
TAKBIR-MUSLIM- магазин мужской мусульманской одежды,"Калужское ш., 22 км, 10",Магазин мужской одежды,+7 909 618-17-17,https://www.google.com/maps/place/TAKBIR-MUSLIM-+%D0%BC%D0%B0%D0%B3%D0%B0%D0%B7%D0%B8%D0%BD+%D0%BC%D1%83%D0%B6%D1%81%D0%BA%D0%BE%D0%B9+%D0%BC%D1%83%D1%81%D1%83%D0%BB%D1%8C%D0%BC%D0%B0%D0%BD%D1%81%D0%BA%D0%BE%D0%B9+%D0%BE%D0%B4%D0%B5%D0%B6%D0%B4%D1%8B/data=!4m7!3m6!1s0x414aad5ca8af1225:0xa415f486de243f4c!8m2!3d55.599087!4d37.4731!16s%2Fg%2F11h10w16qt!19sChIJJRKvqFytSkERTD8k3ob0FaQ?authuser=0&hl=ru&rclk=1
Магазин мужской одежды,"ТЦ ""Южное Бутово"", Веневская ул., 4",Магазин мужской одежды,+7 495 716-40-54,https://www.google.com/maps/place/%D0%9C%D0%B0%D0%B3%D0%B0%D0%B7%D0%B8%D0%BD+%D0%BC%D1%83%D0%B6%D1%81%D0%BA%D0%BE%D0%B9+%D0%BE%D0%B4%D0%B5%D0%B6%D0%B4%D1%8B/data=!4m7!3m6!1s0x414aac48a3e26d11:0xdb3974ae735f15da!8m2!3d55.548386!4d37.54249!16s%2Fg%2F1pv0f99cn!19sChIJEW3io0isSkER2hVfc650Ods?authuser=0&hl=ru&rclk=1
Albione,"Киевское ш., 8 км, от МКАД",Магазин мужской одежды,+7 495 280-02-34,https://www.google.com/maps/place/Albione/data=!4m7!3m6!1s0x46b55283efb28bd1:0x44ae8fed752bffee!8m2!3d55.6105656!4d37.333315!16s%2Fg%2F1tdnvkyj!19sChIJ0Yuy74NStUYR7v8rde2PrkQ?authuser=0&hl=ru&rclk=1
Мужская одежда,"Новостроевская ул., 6",Магазин мужской одежды,,https://www.google.com/maps/place/%D0%9C%D1%83%D0%B6%D1%81%D0%BA%D0%B0%D1%8F+%D0%BE%D0%B4%D0%B5%D0%B6%D0%B4%D0%B0/data=!4m7!3m6!1s0x414aafa7cc7fd143:0x7c0d4ec8e647917e!8m2!3d55.5043263!4d37.5592092!16s%2Fg%2F11jdrj173c!19sChIJQ9F_zKevSkERfpFH5shODXw?authuser=0&hl=ru&rclk=1
Мужская Одежда Van Cliff,"Варшавское ш., 140",Магазин мужской одежды,,https://www.google.com/maps/place/%D0%9C%D1%83%D0%B6%D1%81%D0%BA%D0%B0%D1%8F+%D0%9E%D0%B4%D0%B5%D0%B6%D0%B4%D0%B0+Van+Cliff/data=!4m7!3m6!1s0x414ab261c98d5e4b:0x232d0220769368b3!8m2!3d55.6116064!4d37.6082918!16s%2Fg%2F11h40zv3vt!19sChIJS16NyWGySkERs2iTdiACLSM?authuser=0&hl=ru&rclk=1
Meucci,"Киевское ш., 8",Магазин мужской одежды,+7 495 685-96-96,https://www.google.com/maps/place/Meucci/data=!4m7!3m6!1s0x46b553c1e6fb0835:0x3f574e01cbf927f7!8m2!3d55.6098355!4d37.3347278!16s%2Fg%2F11csqd43ng!19sChIJNQj75sFTtUYR9yf5ywFOVz8?authuser=0&hl=ru&rclk=1
Одежда для мужчин,"Варшавское ш., 156A",Магазин мужской одежды,,https://www.google.com/maps/place/%D0%9E%D0%B4%D0%B5%D0%B6%D0%B4%D0%B0+%D0%B4%D0%BB%D1%8F+%D0%BC%D1%83%D0%B6%D1%87%D0%B8%D0%BD/data=!4m7!3m6!1s0x414ab279bb73439b:0x467c9b9d6b4bcd63!8m2!3d55.596422!4d37.6013579!16s%2Fg%2F1ptvwdkdl!19sChIJm0Nzu3mySkERY81La52bfEY?authuser=0&hl=ru&rclk=1
Strellson,"Vnukovo Outlet Village, дер.",Магазин одежды,+7 926 387-24-89,https://www.google.com/maps/place/Strellson/data=!4m7!3m6!1s0x46b553c1efe8bacf:0xa5730398d0604c62!8m2!3d55.6102402!4d37.3344187!16s%2Fg%2F11c6114m7p!19sChIJz7ro78FTtUYRYkxg0JgDc6U?authuser=0&hl=ru&rclk=1
Сударь,"Киевское ш., 23-й километр, 1 ТРЦ ""Саларис",Магазин одежды,+7 495 640-38-63,https://www.google.com/maps/place/%D0%A1%D1%83%D0%B4%D0%B0%D1%80%D1%8C/data=!4m7!3m6!1s0x46b5531b1f692daf:0xa07ff263e4253d1!8m2!3d55.6233739!4d37.4226488!16s%2Fg%2F11m_m3hsrg!19sChIJry1pHxtTtUYR0VNCPib_Bwo?authuser=0&hl=ru&rclk=1
Мужской свадебный салон Свадебные костюмы,"Варшавское ш., 87 Б, ТЦ ВАРШАВСКИЙ, 2 этаж",Магазин мужской одежды,+7 985 998-61-90,https://www.google.com/maps/place/%D0%9C%D1%83%D0%B6%D1%81%D0%BA%D0%BE%D0%B9+%D1%81%D0%B2%D0%B0%D0%B4%D0%B5%D0%B1%D0%BD%D1%8B%D0%B9+%D1%81%D0%B0%D0%BB%D0%BE%D0%BD+%D0%A1%D0%B2%D0%B0%D0%B4%D0%B5%D0%B1%D0%BD%D1%8B%D0%B5+%D0%BA%D0%BE%D1%81%D1%82%D1%8E%D0%BC%D1%8B/data=!4m7!3m6!1s0x46b54adb8372c92d:0x2f8bb4250a368e49!8m2!3d55.65402!4d37.62044!16s%2Fg%2F11b5pkczwg!19sChIJLclyg9tKtUYRSY42CiW0iy8?authuser=0&hl=ru&rclk=1
Мужской Свадебный Салон Золотой Кафтан,"Андропова пр-т, дом 13А",Магазин мужской одежды,+7 499 618-75-91,https://www.google.com/maps/place/%D0%9C%D1%83%D0%B6%D1%81%D0%BA%D0%BE%D0%B9+%D0%A1%D0%B2%D0%B0%D0%B4%D0%B5%D0%B1%D0%BD%D1%8B%D0%B9+%D0%A1%D0%B0%D0%BB%D0%BE%D0%BD+%D0%97%D0%BE%D0%BB%D0%BE%D1%82%D0%BE%D0%B9+%D0%9A%D0%B0%D1%84%D1%82%D0%B0%D0%BD/data=!4m7!3m6!1s0x414ab4a2d92f38c1:0xcf9abfba10f90024!8m2!3d55.684066!4d37.667375!16s%2Fg%2F1hfbnc_b_!19sChIJwTgv2aK0SkERJAD5ELq_ms8?authuser=0&hl=ru&rclk=1
"СПЕКТР, магазин мужских костюмов","1/1, МКАД, 19-й км, 11 линия, 80 павильон, ТК Южные ворота",Магазин одежды,+7 915 399-45-76,"https://www.google.com/maps/place/%D0%A1%D0%9F%D0%95%D0%9A%D0%A2%D0%A0,+%D0%BC%D0%B0%D0%B3%D0%B0%D0%B7%D0%B8%D0%BD+%D0%BC%D1%83%D0%B6%D1%81%D0%BA%D0%B8%D1%85+%D0%BA%D0%BE%D1%81%D1%82%D1%8E%D0%BC%D0%BE%D0%B2/data=!4m7!3m6!1s0x414ab1365e88f57b:0x1fb34ac55f459ec6!8m2!3d55.621938!4d37.783365!16s%2Fg%2F1pzsys13r!19sChIJe_WIXjaxSkERxp5FX8VKsx8?authuser=0&hl=ru&rclk=1"
Van Cliff,"Кировоградская ул., 13А",Магазин мужской одежды,+7 925 054-60-63,https://www.google.com/maps/place/Van+Cliff/data=!4m7!3m6!1s0x414ab2602b3adf0b:0x6fb81cd0bb2707dc!8m2!3d55.61265!4d37.6069292!16s%2Fg%2F11g6b0vv2q!19sChIJC986K2CySkER3Acnu9AcuG8?authuser=0&hl=ru&rclk=1
Мужская одежда,"просп. Ленинского Комсомола, 9к3",Магазин мужской одежды,,https://www.google.com/maps/place/%D0%9C%D1%83%D0%B6%D1%81%D0%BA%D0%B0%D1%8F+%D0%BE%D0%B4%D0%B5%D0%B6%D0%B4%D0%B0/data=!4m7!3m6!1s0x414aafd47fab45ef:0x8a56fa7641bb1a46!8m2!3d55.5462499!4d37.7105114!16s%2Fg%2F11g6xw4lns!19sChIJ70Wrf9SvSkERRhq7QXb6Voo?authuser=0&hl=ru&rclk=1
мужские костюмы adamsoul,"Нижегородская ул., 33",Магазин мужской одежды,+7 495 984-83-35,https://www.google.com/maps/place/%D0%BC%D1%83%D0%B6%D1%81%D0%BA%D0%B8%D0%B5+%D0%BA%D0%BE%D1%81%D1%82%D1%8E%D0%BC%D1%8B+adamsoul/data=!4m7!3m6!1s0x414ab535f6900dfd:0x912613d36842202f!8m2!3d55.7332703!4d37.714109!16s%2Fg%2F11ddzl7lqg!19sChIJ_Q2Q9jW1SkERLyBCaNMTJpE?authuser=0&hl=ru&rclk=1
KANZLER,"ул. Вавилова, 3",Магазин мужской одежды,+7 495 966-64-21,https://www.google.com/maps/place/KANZLER/data=!4m7!3m6!1s0x46b54b6459458c33:0x8bc2beca9f1bb3a8!8m2!3d55.7074859!4d37.5912509!16s%2Fg%2F1hf3fmh5k!19sChIJM4xFWWRLtUYRqLMbn8q-wos?authuser=0&hl=ru&rclk=1
Костюм,"Элеваторная ул., 19",Магазин одежды,,https://www.google.com/maps/place/%D0%9A%D0%BE%D1%81%D1%82%D1%8E%D0%BC/data=!4m7!3m6!1s0x414ab23b787cd04d:0xafffb8286e6c9cfe!8m2!3d55.6030449!4d37.6622349!16s%2Fg%2F11r6t3wt8t!19sChIJTdB8eDuySkER_pxsbii4_68?authuser=0&hl=ru&rclk=1
Olymp-Men интернет-магазин мужской одежды,"Варшавское ш., 36с2",Магазин мужской одежды,+7 495 785-81-08,https://www.google.com/maps/place/Olymp-Men+%D0%B8%D0%BD%D1%82%D0%B5%D1%80%D0%BD%D0%B5%D1%82-%D0%BC%D0%B0%D0%B3%D0%B0%D0%B7%D0%B8%D0%BD+%D0%BC%D1%83%D0%B6%D1%81%D0%BA%D0%BE%D0%B9+%D0%BE%D0%B4%D0%B5%D0%B6%D0%B4%D1%8B/data=!4m7!3m6!1s0x414ab342db22f4c3:0xc362a808b5a96235!8m2!3d55.672603!4d37.6252569!16s%2Fg%2F11gzvd19y!19sChIJw_Qi20KzSkERNWKptQioYsM?authuser=0&hl=ru&rclk=1
