Название,Адрес,Город,Номер телефона,Вебсайт,Cсылка
Большевичка,"Краснодонская ул., д. 8",Москва,+7 495 350-14-65,,https://www.google.com/maps/place/%D0%91%D0%BE%D0%BB%D1%8C%D1%88%D0%B5%D0%B2%D0%B8%D1%87%D0%BA%D0%B0/data=!4m7!3m6!1s0x414ab45aaccf79b7:0xa79896094b2ee035!8m2!3d55.681785!4d37.7473829!16s%2Fg%2F1tdrvwdb!19sChIJt3nPrFq0SkERNeAuSwmWmKc?authuser=0&hl=ru&rclk=1
HENDERSON,"2-й микрорайон, 20 МТРК «Zеленопарк», 1 этаж",Москва,+7 499 704-63-00,,https://www.google.com/maps/place/HENDERSON/data=!4m7!3m6!1s0x46b515bff0248ced:0x88f38e220bdd7d55!8m2!3d55.9986583!4d37.2576759!16s%2Fg%2F11f3xgkkn9!19sChIJ7Ywk8L8VtUYRVX3dCyKO84g?authuser=0&hl=ru&rclk=1
Сударь,"к1824, Новокрюковская ул.",Москва,+7 495 640-39-85,,https://www.google.com/maps/place/%D0%A1%D1%83%D0%B4%D0%B0%D1%80%D1%8C/data=!4m7!3m6!1s0x46b5155e45b34b09:0x4dee9f47f384a1ef!8m2!3d55.9833303!4d37.1668711!16s%2Fg%2F11rggl0zdh!19sChIJCUuzRV4VtUYR76GE80ef7k0?authuser=0&hl=ru&rclk=1
Мужские Костюмы,"ТЦ ""Ново-Переделкино"", Боровское ш., 51",Москва,+7 499 703-05-10,,https://www.google.com/maps/place/%D0%9C%D1%83%D0%B6%D1%81%D0%BA%D0%B8%D0%B5+%D0%9A%D0%BE%D1%81%D1%82%D1%8E%D0%BC%D1%8B/data=!4m7!3m6!1s0x46b5522ec56a9b2f:0x154ad7a8559175a8!8m2!3d55.6373426!4d37.3532541!16s%2Fg%2F1pp2tjdyw!19sChIJL5tqxS5StUYRqHWRVajXShU?authuser=0&hl=ru&rclk=1
Мужская одежда,"Новостроевская ул., 6",Москва,,,https://www.google.com/maps/place/%D0%9C%D1%83%D0%B6%D1%81%D0%BA%D0%B0%D1%8F+%D0%BE%D0%B4%D0%B5%D0%B6%D0%B4%D0%B0/data=!4m7!3m6!1s0x414aafa7cc7fd143:0x7c0d4ec8e647917e!8m2!3d55.5043263!4d37.5592092!16s%2Fg%2F11jdrj173c!19sChIJQ9F_zKevSkERfpFH5shODXw?authuser=0&hl=ru&rclk=1
Пижон стильная одежда,"Рабочая ул., 16",Москва,,,https://www.google.com/maps/place/%D0%9F%D0%B8%D0%B6%D0%BE%D0%BD+%D1%81%D1%82%D0%B8%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F+%D0%BE%D0%B4%D0%B5%D0%B6%D0%B4%D0%B0/data=!4m7!3m6!1s0x414aa84140e428ef:0x18e3b06a0e0b2801!8m2!3d55.43139!4d37.5560359!16s%2Fg%2F11p6nmb2_t!19sChIJ7yjkQEGoSkERASgLDmqw4xg?authuser=0&hl=ru&rclk=1
МС-СТИЛЬ,"торговый центр, Комсомольская ул., д. 46",Москва,+7 965 110-14-44,,https://www.google.com/maps/place/%D0%9C%D0%A1-%D0%A1%D0%A2%D0%98%D0%9B%D0%AC/data=!4m7!3m6!1s0x414aa84740f4d14f:0x4a45a5a4023bf156!8m2!3d55.4306603!4d37.5486397!16s%2Fg%2F11nn1cfgl3!19sChIJT9H0QEeoSkERVvE7AqSlRUo?authuser=0&hl=ru&rclk=1
Магазин мужской одежды,"ТЦ ""Южное Бутово"", Веневская ул., 4",Москва,+7 495 716-40-54,,https://www.google.com/maps/place/%D0%9C%D0%B0%D0%B3%D0%B0%D0%B7%D0%B8%D0%BD+%D0%BC%D1%83%D0%B6%D1%81%D0%BA%D0%BE%D0%B9+%D0%BE%D0%B4%D0%B5%D0%B6%D0%B4%D1%8B/data=!4m7!3m6!1s0x414aac48a3e26d11:0xdb3974ae735f15da!8m2!3d55.548386!4d37.54249!16s%2Fg%2F1pv0f99cn!19sChIJEW3io0isSkER2hVfc650Ods?authuser=0&hl=ru&rclk=1
Мужская одежда,"просп. Ленинского Комсомола, 9к3",Москва,,,https://www.google.com/maps/place/%D0%9C%D1%83%D0%B6%D1%81%D0%BA%D0%B0%D1%8F+%D0%BE%D0%B4%D0%B5%D0%B6%D0%B4%D0%B0/data=!4m7!3m6!1s0x414aafd47fab45ef:0x8a56fa7641bb1a46!8m2!3d55.5462499!4d37.7105114!16s%2Fg%2F11g6xw4lns!19sChIJ70Wrf9SvSkERRhq7QXb6Voo?authuser=0&hl=ru&rclk=1
Большевичка,"Нахимовский пр., д. 26",Москва,+7 499 128-87-51,,https://www.google.com/maps/place/%D0%91%D0%BE%D0%BB%D1%8C%D1%88%D0%B5%D0%B2%D0%B8%D1%87%D0%BA%D0%B0/data=!4m7!3m6!1s0x46b54cc895cc418d:0x3d3d7b4f2304d554!8m2!3d55.6728513!4d37.5797898!16s%2Fg%2F1tmqkgbb!19sChIJjUHMlchMtUYRVNUEI097PT0?authuser=0&hl=ru&rclk=1
KANZLER,"Каширское ш., д. 26, 2 этаж",Москва,+7 495 966-63-86,,https://www.google.com/maps/place/KANZLER/data=!4m7!3m6!1s0x414ab36d493fb76b:0x4c99c0d1a2ccc858!8m2!3d55.653957!4d37.646889!16s%2Fg%2F11g8wnxjyl!19sChIJa7c_SW2zSkERWMjMotHAmUw?authuser=0&hl=ru&rclk=1
Van Cliff,"Талалихина ул., 31А/2",Москва,+7 495 671-61-73,,https://www.google.com/maps/place/Van+Cliff/data=!4m7!3m6!1s0x46b54ad174aa8407:0xfd5a08a19e811c1a!8m2!3d55.7323488!4d37.6800372!16s%2Fg%2F11gznqb2y!19sChIJB4SqdNFKtUYRGhyBnqEIWv0?authuser=0&hl=ru&rclk=1
"""GARDEROB"" одежда для мужчин и женщин","Каширское ш., 114",Москва,+7 929 951-41-94,,https://www.google.com/maps/place/%22GARDEROB%22+%D0%BE%D0%B4%D0%B5%D0%B6%D0%B4%D0%B0+%D0%B4%D0%BB%D1%8F+%D0%BC%D1%83%D0%B6%D1%87%D0%B8%D0%BD+%D0%B8+%D0%B6%D0%B5%D0%BD%D1%89%D0%B8%D0%BD/data=!4m7!3m6!1s0x414aa7f2b2d7d81d:0x332c12217bf700bc!8m2!3d55.4168764!4d37.7764599!16s%2Fg%2F11q30ch47t!19sChIJHdjXsvKnSkERvAD3eyESLDM?authuser=0&hl=ru&rclk=1
Статус+,"Каширское ш., 83",Москва,+7 916 982-05-75,,https://www.google.com/maps/place/%D0%A1%D1%82%D0%B0%D1%82%D1%83%D1%81%2B/data=!4m7!3m6!1s0x414aa41f97bda7bd:0x26b8057a2fce6c96!8m2!3d55.4291324!4d37.7708341!16s%2Fg%2F1pzs9c1t3!19sChIJvae9lx-kSkERlmzOL3oFuCY?authuser=0&hl=ru&rclk=1
Гардеробъ,"Революционный просп., 20",Москва,+7 496 763-50-98,,https://www.google.com/maps/place/%D0%93%D0%B0%D1%80%D0%B4%D0%B5%D1%80%D0%BE%D0%B1%D1%8A/data=!4m7!3m6!1s0x414aa843d584ad11:0x3c9c225715629a34!8m2!3d55.4318848!4d37.5593634!16s%2Fg%2F1v3dqp0n!19sChIJEa2E1UOoSkERNJpiFVcinDw?authuser=0&hl=ru&rclk=1
ТЕРРИТОРИЯ МУЖЧИН «VIG Jeans»,"Курыжова ул., 15 Цокольный этаж. Магазин Территория Мужчин!",Москва,+7 926 568-90-81,,https://www.google.com/maps/place/%D0%A2%D0%95%D0%A0%D0%A0%D0%98%D0%A2%D0%9E%D0%A0%D0%98%D0%AF+%D0%9C%D0%A3%D0%96%D0%A7%D0%98%D0%9D+%C2%ABVIG+Jeans%C2%BB/data=!4m7!3m6!1s0x414aa76a0003b3ad:0x1cde2010869953c8!8m2!3d55.4000065!4d37.7697879!16s%2Fg%2F11j2fp34k0!19sChIJrbMDAGqnSkERyFOZhhAg3hw?authuser=0&hl=ru&rclk=1
Мужская классическая одежда OLIAN,"ул. Ленина, 47",Москва,+7 977 446-47-37,,https://www.google.com/maps/place/%D0%9C%D1%83%D0%B6%D1%81%D0%BA%D0%B0%D1%8F+%D0%BA%D0%BB%D0%B0%D1%81%D1%81%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B0%D1%8F+%D0%BE%D0%B4%D0%B5%D0%B6%D0%B4%D0%B0+OLIAN/data=!4m7!3m6!1s0x414ab7fbfe647d75:0xcb3a3f84d37b649d!8m2!3d55.612139!4d37.9765975!16s%2Fg%2F11xy19w8k!19sChIJdX1k_vu3SkERnWR704Q_Oss?authuser=0&hl=ru&rclk=1
Мужские костюмы классика,Октябрьская ул.,Москва,+7 910 467-46-45,,https://www.google.com/maps/place/%D0%9C%D1%83%D0%B6%D1%81%D0%BA%D0%B8%D0%B5+%D0%BA%D0%BE%D1%81%D1%82%D1%8E%D0%BC%D1%8B+%D0%BA%D0%BB%D0%B0%D1%81%D1%81%D0%B8%D0%BA%D0%B0/data=!4m7!3m6!1s0x414abfc509553de3:0xa8860558cb9c79dd!8m2!3d55.5720085!4d38.2068433!16s%2Fg%2F11r5xt0c7j!19sChIJ4z1VCcW_SkER3Xmcy1gFhqg?authuser=0&hl=ru&rclk=1
Cityofmen,"Свободный пр., д. 11, к. 2",Москва,+7 977 860-87-09,,https://www.google.com/maps/place/Cityofmen/data=!4m7!3m6!1s0x414acae48b55a05b:0xde1d4ab32fe85c18!8m2!3d55.763271!4d37.825565!16s%2Fg%2F11gjmt5xb2!19sChIJW6BVi-TKSkERGFzoL7NKHd4?authuser=0&hl=ru&rclk=1
O'STIN,"Каширское ш., 3А",Москва,+7 800 777-49-99,,https://www.google.com/maps/place/O%27STIN/data=!4m7!3m6!1s0x414aa41fb7ac33cb:0xc5ab5d633716c5b4!8m2!3d55.452063!4d37.763137!16s%2Fg%2F119vhs0kh!19sChIJyzOstx-kSkERtMUWN2Ndq8U?authuser=0&hl=ru&rclk=1
Fashionstyle,,Москва,,,https://www.google.com/maps/place/Fashionstyle/data=!4m7!3m6!1s0x414aa24cfbbb9967:0x219ab2e605202693!8m2!3d55.4141419!4d37.9027379!16s%2Fg%2F11f3xky0hl!19sChIJZ5m7-0yiSkERkyYgBeaymiE?authuser=0&hl=ru&rclk=1
Мужские Костюмы,"ул. Новокосинская, 8, корп. 1",Москва,+7 495 702-87-00,,https://www.google.com/maps/place/%D0%9C%D1%83%D0%B6%D1%81%D0%BA%D0%B8%D0%B5+%D0%9A%D0%BE%D1%81%D1%82%D1%8E%D0%BC%D1%8B/data=!4m7!3m6!1s0x414aca6a951644a9:0x6bf3e9778e9ad11a!8m2!3d55.733038!4d37.855361!16s%2Fg%2F11btrrf52d!19sChIJqUQWlWrKSkERGtGajnfp82s?authuser=0&hl=ru&rclk=1
VERNON,"7-я Кожуховская ул., 9",Москва,+7 910 010-34-56,,https://www.google.com/maps/place/VERNON/data=!4m7!3m6!1s0x414ab5403205fdcd:0xfa7861a43a75de51!8m2!3d55.7105733!4d37.6745672!16s%2Fg%2F11ghfp_m9z!19sChIJzf0FMkC1SkERUd51OqRhePo?authuser=0&hl=ru&rclk=1
Tom Farr,"ул. Михалевича, 5",Москва,+7 495 755-99-66,,https://www.google.com/maps/place/Tom+Farr/data=!4m7!3m6!1s0x414a95525ec2c281:0x76443202b41b7023!8m2!3d55.5682536!4d38.2312101!16s%2Fg%2F11b6d2w3k9!19sChIJgcLCXlKVSkERI3AbtAIyRHY?authuser=0&hl=ru&rclk=1
HENDERSON,"Носовихинское ш., 45, ТЦ «Реутов Парк», 3 этаж",Москва,+7 499 704-71-00,,https://www.google.com/maps/place/HENDERSON/data=!4m7!3m6!1s0x414acbb59fdbf807:0x9b2f6634dc8a7db8!8m2!3d55.7521519!4d37.8878679!16s%2Fg%2F11gfh9j3mg!19sChIJB_jbn7XLSkERuH2K3DRmL5s?authuser=0&hl=ru&rclk=1
Сударь,"ул. Гагарина, 56",Москва,+7 495 640-95-56,,https://www.google.com/maps/place/%D0%A1%D1%83%D0%B4%D0%B0%D1%80%D1%8C/data=!4m7!3m6!1s0x414ab8baaa0ddc55:0x747e7d9ff8d0a5c5!8m2!3d55.608724!4d38.0931309!16s%2Fg%2F11b86wbg__!19sChIJVdwNqrq4SkERxaXQ-J99fnQ?authuser=0&hl=ru&rclk=1
Одежда,"Спортивный пр-д, 11",Москва,,,https://www.google.com/maps/place/%D0%9E%D0%B4%D0%B5%D0%B6%D0%B4%D0%B0/data=!4m7!3m6!1s0x414abf890c702761:0x90a4ee699d1420cf!8m2!3d55.5770898!4d38.2057174!16s%2Fg%2F11hf4rn2xx!19sChIJYSdwDIm_SkERzyAUnWnupJA?authuser=0&hl=ru&rclk=1
Мужская одежда,"пр. Ленина, 2",Москва,,,https://www.google.com/maps/place/%D0%9C%D1%83%D0%B6%D1%81%D0%BA%D0%B0%D1%8F+%D0%BE%D0%B4%D0%B5%D0%B6%D0%B4%D0%B0/data=!4m7!3m6!1s0x414adbfc6cd3eb8f:0xb92c9ed0ad8858e3!8m2!3d55.8052962!4d38.4351426!16s%2Fg%2F11j2dkwlb2!19sChIJj-vTbPzbSkER41iIrdCeLLk?authuser=0&hl=ru&rclk=1
Сударь,"Фрязевское ш., 50А",Москва,+7 495 640-39-02,,https://www.google.com/maps/place/%D0%A1%D1%83%D0%B4%D0%B0%D1%80%D1%8C/data=!4m7!3m6!1s0x414adde8dd72fab3:0x7f9988a90ce0277a!8m2!3d55.7809627!4d38.4330679!16s%2Fg%2F11r_dmwf1t!19sChIJs_py3ejdSkEReifgDKmImX8?authuser=0&hl=ru&rclk=1
Van Cliff,"1-й Покровский пр-д, 5",Москва,+7 985 776-23-64,,https://www.google.com/maps/place/Van+Cliff/data=!4m7!3m6!1s0x414ab6f6ada3e691:0xf7ad7c788b8de6ac!8m2!3d55.6538228!4d37.8449978!16s%2Fg%2F124svz9zm!19sChIJkeajrfa2SkERrOaNi3h8rfc?authuser=0&hl=ru&rclk=1
МАСКА,"ул. Чкалова, 35",Москва,+7 985 156-86-39,,https://www.google.com/maps/place/%D0%9C%D0%90%D0%A1%D0%9A%D0%90/data=!4m7!3m6!1s0x414abf455de02cd9:0x1c434071cf3df28a!8m2!3d55.5960426!4d38.1255569!16s%2Fg%2F1tfvfrx0!19sChIJ2SzgXUW_SkERivI9z3FAQxw?authuser=0&hl=ru&rclk=1
"Магазин мужской одежды ""Династия""","ул. Генерала Шлыкова, 8Б",Москва,+7 969 346-06-41,,https://www.google.com/maps/place/%D0%9C%D0%B0%D0%B3%D0%B0%D0%B7%D0%B8%D0%BD+%D0%BC%D1%83%D0%B6%D1%81%D0%BA%D0%BE%D0%B9+%D0%BE%D0%B4%D0%B5%D0%B6%D0%B4%D1%8B+%22%D0%94%D0%B8%D0%BD%D0%B0%D1%81%D1%82%D0%B8%D1%8F%22/data=!4m7!3m6!1s0x46b55931723c34bd:0x41bbb28fdbd2f069!8m2!3d55.6020448!4d37.0299959!16s%2Fg%2F11pwqffh2x!19sChIJvTQ8cjFZtUYRafDS24-yu0E?authuser=0&hl=ru&rclk=1
Костюмы на Савёловской,"ул. Сущёвский Вал, д. 5",Москва,+7 915 255-06-10,,https://www.google.com/maps/place/%D0%9A%D0%BE%D1%81%D1%82%D1%8E%D0%BC%D1%8B+%D0%BD%D0%B0+%D0%A1%D0%B0%D0%B2%D1%91%D0%BB%D0%BE%D0%B2%D1%81%D0%BA%D0%BE%D0%B9/data=!4m7!3m6!1s0x46b549f8f5a5a007:0x3ca1a942ecf57f6e!8m2!3d55.7935881!4d37.5921027!16s%2Fg%2F11d_wwqb2_!19sChIJB6Cl9fhJtUYRbn_17EKpoTw?authuser=0&hl=ru&rclk=1
Большевичка,"Ленинградское ш., д. 94, к. 1",Москва,+7 499 940-21-20,,https://www.google.com/maps/place/%D0%91%D0%BE%D0%BB%D1%8C%D1%88%D0%B5%D0%B2%D0%B8%D1%87%D0%BA%D0%B0/data=!4m7!3m6!1s0x46b53805afaf7cd7:0xe4ca83159263c896!8m2!3d55.8554648!4d37.4706073!16s%2Fg%2F11c58q7ch7!19sChIJ13yvrwU4tUYRlshjkhWDyuQ?authuser=0&hl=ru&rclk=1
Albione,"Международная ул., 12",Москва,+7 495 236-12-32,,https://www.google.com/maps/place/Albione/data=!4m7!3m6!1s0x46b54635aa2ffdf1:0x4647bb36106eb53e!8m2!3d55.8207299!4d37.387441!16s%2Fg%2F11dxmmvfxb!19sChIJ8f0vqjVGtUYRPrVuEDa7R0Y?authuser=0&hl=ru&rclk=1
Men's Club,"Дмитровское ш., 89",Москва,+7 495 970-37-90,,https://www.google.com/maps/place/Men%27s+Club/data=!4m7!3m6!1s0x46b53799698f5161:0xcd1d322a4135251d!8m2!3d55.863811!4d37.5452283!16s%2Fg%2F11c704d70r!19sChIJYVGPaZk3tUYRHSU1QSoyHc0?authuser=0&hl=ru&rclk=1
Большевичка,"Северный б-р, д. 7Б",Москва,+7 499 202-00-98,,https://www.google.com/maps/place/%D0%91%D0%BE%D0%BB%D1%8C%D1%88%D0%B5%D0%B2%D0%B8%D1%87%D0%BA%D0%B0/data=!4m7!3m6!1s0x46b5371c45c87825:0x4fcfcf2791f0379f!8m2!3d55.867611!4d37.606243!16s%2Fg%2F1v2gcf1y!19sChIJJXjIRRw3tUYRnzfwkSfPz08?authuser=0&hl=ru&rclk=1
HARAKTER,"Ходынский б-р, 4",Москва,,,https://www.google.com/maps/place/HARAKTER/data=!4m7!3m6!1s0x46b549bdb1023867:0x3dab755870da63b4!8m2!3d55.7898025!4d37.5324332!16s%2Fg%2F11c31rm842!19sChIJZzgCsb1JtUYRtGPacFh1qz0?authuser=0&hl=ru&rclk=1
Prezioni,"ул. Охотный Ряд, дом 2",Москва,+7 499 503-70-71,,https://www.google.com/maps/place/Prezioni/data=!4m7!3m6!1s0x46b54a5a95480617:0x970cbde3d41a72d8!8m2!3d55.7570052!4d37.6164606!16s%2Fg%2F11bx2k_wb5!19sChIJFwZIlVpKtUYR2HIa1OO9DJc?authuser=0&hl=ru&rclk=1
Сударь,"село Немчиновка проезд Хорошевский 14 ТРЦ «VEGAS» Кунцево, 1 этаж",Москва,+7 495 640-39-97,,https://www.google.com/maps/place/%D0%A1%D1%83%D0%B4%D0%B0%D1%80%D1%8C/data=!4m7!3m6!1s0x46b54f5046ded885:0xcf0e0f2cdcf9fe57!8m2!3d55.7200861!4d37.3780788!16s%2Fg%2F11nn1crpbr!19sChIJhdjeRlBPtUYRV_753CwPDs8?authuser=0&hl=ru&rclk=1
HENDERSON,"Международная ул., 12, ТРЦ «VEGAS Крокус Сити», 1 этаж",Москва,+7 495 134-40-77,,https://www.google.com/maps/place/HENDERSON/data=!4m7!3m6!1s0x46b54635a9f666b3:0xbe013279bfb9afbf!8m2!3d55.8207781!4d37.3884863!16s%2Fg%2F11g6qr5stp!19sChIJs2b2qTVGtUYRv6-5v3kyAb4?authuser=0&hl=ru&rclk=1
Сударь,"Митинская ул., 50 м",Москва,+7 495 640-38-29,,https://www.google.com/maps/place/%D0%A1%D1%83%D0%B4%D0%B0%D1%80%D1%8C/data=!4m7!3m6!1s0x46b547f14f7a00af:0xbbc09b23d4e14c22!8m2!3d55.8518056!4d37.3555505!16s%2Fg%2F11k86drj39!19sChIJrwB6T_FHtUYRIkzh1CObwLs?authuser=0&hl=ru&rclk=1
Сударь,"Ярцевская ул., 11к1",Москва,+7 495 640-38-20,,https://www.google.com/maps/place/%D0%A1%D1%83%D0%B4%D0%B0%D1%80%D1%8C/data=!4m7!3m6!1s0x46b54f01c26577c5:0xc31ed63f6082096f!8m2!3d55.7364432!4d37.408838!16s%2Fg%2F11nymv2qsh!19sChIJxXdlwgFPtUYRbwmCYD_WHsM?authuser=0&hl=ru&rclk=1
Olymp & Digel,"Привокзальная пл., 1А",Москва,+7 965 343-59-25,,https://www.google.com/maps/place/Olymp+%26+Digel/data=!4m7!3m6!1s0x46b551c71e979965:0xa01f66c57154a359!8m2!3d55.6713886!4d37.2766038!16s%2Fg%2F11pv9h6g12!19sChIJZZmXHsdRtUYRWaNUccVmH6A?authuser=0&hl=ru&rclk=1
CORNELIANI,"Киевское ш., 8",Москва,,,https://www.google.com/maps/place/CORNELIANI/data=!4m7!3m6!1s0x46b553ea0bf8b123:0x15222639456172d3!8m2!3d55.6093693!4d37.3333096!16s%2Fg%2F11c6zy43ln!19sChIJI7H4C-pTtUYR03JhRTkmIhU?authuser=0&hl=ru&rclk=1
Мужские костюмы,,Москва,,,https://www.google.com/maps/place/%D0%9C%D1%83%D0%B6%D1%81%D0%BA%D0%B8%D0%B5+%D0%BA%D0%BE%D1%81%D1%82%D1%8E%D0%BC%D1%8B/data=!4m7!3m6!1s0x46b5478d69d19107:0xe586832e04d73ee5!8m2!3d55.8501878!4d37.4268461!16s%2Fg%2F11h1mdbzn_!19sChIJB5HRaY1HtUYR5T7XBC6DhuU?authuser=0&hl=ru&rclk=1
Royals,"ТЦ ""Твин Плаза"", Новоясеневский пр., 2",Москва,+7 495 234-57-17,,https://www.google.com/maps/place/Royals/data=!4m7!3m6!1s0x46b552ac60140355:0xf6e7e0f784370965!8m2!3d55.617462!4d37.5066888!16s%2Fg%2F1hf0z5plh!19sChIJVQMUYKxStUYRZQk3hPfg5_Y?authuser=0&hl=ru&rclk=1
Epatage,"ТЦ ""Принц Плаза"", ул. Профсоюзная, 129",Москва,+7 495 987-17-00,,https://www.google.com/maps/place/Epatage/data=!4m7!3m6!1s0x46b552ac79e51a5f:0xe11be2fd915d45c3!8m2!3d55.6190219!4d37.5063718!16s%2Fg%2F1hd_vyfv0!19sChIJXxrleaxStUYRw0Vdkf3iG-E?authuser=0&hl=ru&rclk=1
Франт,"супермаркет ""Билла"", Генерала Тюленева ул., 4",Москва,+7 495 424-12-22,,https://www.google.com/maps/place/%D0%A4%D1%80%D0%B0%D0%BD%D1%82/data=!4m7!3m6!1s0x46b552a393ff3bb9:0xe1eefaf5ade6cf7a!8m2!3d55.625422!4d37.483822!16s%2Fg%2F11g_wzv4d!19sChIJuTv_k6NStUYRes_mrfX67uE?authuser=0&hl=ru&rclk=1
Мужская одежда,,Москва,+7 926 719-69-15,,https://www.google.com/maps/place/%D0%9C%D1%83%D0%B6%D1%81%D0%BA%D0%B0%D1%8F+%D0%BE%D0%B4%D0%B5%D0%B6%D0%B4%D0%B0/data=!4m7!3m6!1s0x46b5504e6588d249:0x96d0dcc7de5b6a39!8m2!3d55.6714116!4d37.2761919!16s%2Fg%2F11cs9_rk6f!19sChIJSdKIZU5QtUYROWpb3sfc0JY?authuser=0&hl=ru&rclk=1
"JASPER, сеть магазинов мужской одежды","Сходненская ул., 56",Москва,+7 495 604-13-07,,"https://www.google.com/maps/place/JASPER,+%D1%81%D0%B5%D1%82%D1%8C+%D0%BC%D0%B0%D0%B3%D0%B0%D0%B7%D0%B8%D0%BD%D0%BE%D0%B2+%D0%BC%D1%83%D0%B6%D1%81%D0%BA%D0%BE%D0%B9+%D0%BE%D0%B4%D0%B5%D0%B6%D0%B4%D1%8B/data=!4m7!3m6!1s0x46b547f224954799:0x2cf7eaa6c6b2d2a0!8m2!3d55.8505302!4d37.4448066!16s%2Fg%2F1pztslw0d!19sChIJmUeVJPJHtUYRoNKyxqbq9yw?authuser=0&hl=ru&rclk=1"
"SMOLINO, магазин женской одежды","Привокзальная пл., 2-в",Москва,+7 916 580-81-14,,"https://www.google.com/maps/place/SMOLINO,+%D0%BC%D0%B0%D0%B3%D0%B0%D0%B7%D0%B8%D0%BD+%D0%B6%D0%B5%D0%BD%D1%81%D0%BA%D0%BE%D0%B9+%D0%BE%D0%B4%D0%B5%D0%B6%D0%B4%D1%8B/data=!4m7!3m6!1s0x46caa23f2f2ce1cb:0x2f12a871d4c27bd1!8m2!3d55.6706055!4d37.2783082!16s%2Fg%2F11c44p0cbn!19sChIJy-EsLz-iykYR0XvC1HGoEi8?authuser=0&hl=ru&rclk=1"
Albione,"Киевское ш., 8 км, от МКАД",Москва,+7 495 280-02-34,,https://www.google.com/maps/place/Albione/data=!4m7!3m6!1s0x46b55283efb28bd1:0x44ae8fed752bffee!8m2!3d55.6105656!4d37.333315!16s%2Fg%2F1tdnvkyj!19sChIJ0Yuy74NStUYR7v8rde2PrkQ?authuser=0&hl=ru&rclk=1
ManClassic.ru - Магазин мужских костюмов,"Ленинский пр-т., д. 71",Москва,+7 901 180-00-00,,https://www.google.com/maps/place/ManClassic.ru+-+%D0%9C%D0%B0%D0%B3%D0%B0%D0%B7%D0%B8%D0%BD+%D0%BC%D1%83%D0%B6%D1%81%D0%BA%D0%B8%D1%85+%D0%BA%D0%BE%D1%81%D1%82%D1%8E%D0%BC%D0%BE%D0%B2/data=!4m7!3m6!1s0x46b54d6233ea22cf:0x77c87546c9033050!8m2!3d55.6890018!4d37.5502308!16s%2Fg%2F11ghfsc627!19sChIJzyLqM2JNtUYRUDADyUZ1yHc?authuser=0&hl=ru&rclk=1
Meucci,"Киевское ш., 8",Москва,+7 495 685-96-96,,https://www.google.com/maps/place/Meucci/data=!4m7!3m6!1s0x46b553c1e6fb0835:0x3f574e01cbf927f7!8m2!3d55.6098355!4d37.3347278!16s%2Fg%2F11csqd43ng!19sChIJNQj75sFTtUYR9yf5ywFOVz8?authuser=0&hl=ru&rclk=1
ателье для мужчин,"ул. Покрышкина, 5",Москва,+7 495 928-35-13,,https://www.google.com/maps/place/%D0%B0%D1%82%D0%B5%D0%BB%D1%8C%D0%B5+%D0%B4%D0%BB%D1%8F+%D0%BC%D1%83%D0%B6%D1%87%D0%B8%D0%BD/data=!4m7!3m6!1s0x46b54d9899955555:0xb21f94a09796aa00!8m2!3d55.6643924!4d37.4692098!16s%2Fg%2F11sq199sf0!19sChIJVVWVmZhNtUYRAKqWl6CUH7I?authuser=0&hl=ru&rclk=1
Магазин мужской одежды,"пр. Вернадского, 14 а",Москва,,,https://www.google.com/maps/place/%D0%9C%D0%B0%D0%B3%D0%B0%D0%B7%D0%B8%D0%BD+%D0%BC%D1%83%D0%B6%D1%81%D0%BA%D0%BE%D0%B9+%D0%BE%D0%B4%D0%B5%D0%B6%D0%B4%D1%8B/data=!4m7!3m6!1s0x46b54daabd1e6029:0x6812dff9825a7583!8m2!3d55.676946!4d37.504758!16s%2Fg%2F11b7q5drvh!19sChIJKWAevapNtUYRg3VagvnfEmg?authuser=0&hl=ru&rclk=1
Магазин мужских костюмов,"Большой Козихинский пер., 22 строение 2",Москва,+7 495 104-24-08,,https://www.google.com/maps/place/%D0%9C%D0%B0%D0%B3%D0%B0%D0%B7%D0%B8%D0%BD+%D0%BC%D1%83%D0%B6%D1%81%D0%BA%D0%B8%D1%85+%D0%BA%D0%BE%D1%81%D1%82%D1%8E%D0%BC%D0%BE%D0%B2/data=!4m7!3m6!1s0x46b54a38470dce3d:0xaa091654045cf3dc!8m2!3d55.7646575!4d37.5951696!16s%2Fg%2F11j218yzxz!19sChIJPc4NRzhKtUYR3PNcBFQWCao?authuser=0&hl=ru&rclk=1
KANZLER,"ТРЦ VEGAS Кунцево, Хорошевский пр-д, 14",Москва,+7 495 236-14-91,,https://www.google.com/maps/place/KANZLER/data=!4m7!3m6!1s0x46b54f883df656d7:0xb752264131ca0ac!8m2!3d55.7200861!4d37.3780788!16s%2Fg%2F11q375820r!19sChIJ11b2PYhPtUYRrKAcE2QidQs?authuser=0&hl=ru&rclk=1
